DATE;TIME;PROB_NAME;TRIAL_NO;BEST;ELAPSED;LF_STRATEGY;NO_TRIALS;MHFE
02-Jul-2021;14:39:24;LV_f09_MF;1;-3.854015;813.89;1;30;400
02-Jul-2021;14:53:10;LV_f09_MF;2;-3.860640;826.56;1;30;400
02-Jul-2021;15:06:37;LV_f09_MF;3;-3.855750;806.38;1;30;400
02-Jul-2021;15:20:06;LV_f09_MF;4;-3.859007;809.19;1;30;400
02-Jul-2021;15:34:34;LV_f09_MF;5;-3.855467;867.77;1;30;400
02-Jul-2021;15:49:00;LV_f09_MF;6;-3.860701;866.52;1;30;400
02-Jul-2021;16:02:30;LV_f09_MF;7;-3.857949;809.97;1;30;400
02-Jul-2021;16:17:11;LV_f09_MF;8;-3.859001;880.50;1;30;400
02-Jul-2021;16:30:09;LV_f09_MF;9;-3.857753;777.94;1;30;400
02-Jul-2021;16:44:12;LV_f09_MF;10;-3.861611;843.04;1;30;400
02-Jul-2021;16:58:11;LV_f09_MF;11;-3.859094;839.00;1;30;400
02-Jul-2021;17:13:12;LV_f09_MF;12;-3.861143;901.89;1;30;400
02-Jul-2021;17:27:08;LV_f09_MF;13;-3.854681;835.23;1;30;400
02-Jul-2021;17:40:57;LV_f09_MF;14;-3.859202;829.19;1;30;400
02-Jul-2021;17:55:04;LV_f09_MF;15;-3.857818;846.83;1;30;400
02-Jul-2021;18:09:02;LV_f09_MF;16;-3.862092;837.96;1;30;400
02-Jul-2021;18:23:14;LV_f09_MF;17;-3.859491;852.63;1;30;400
02-Jul-2021;18:37:22;LV_f09_MF;18;-3.852330;847.60;1;30;400
02-Jul-2021;18:45:33;LV_f09_MF;19;-3.854878;491.45;1;30;400
02-Jul-2021;19:01:22;LV_f09_MF;20;-3.861480;948.77;1;30;400
02-Jul-2021;19:17:08;LV_f09_MF;21;-3.858494;945.48;1;30;400
02-Jul-2021;19:32:11;LV_f09_MF;22;-3.859478;903.83;1;30;400
02-Jul-2021;19:46:14;LV_f09_MF;23;-3.856228;842.36;1;30;400
02-Jul-2021;19:59:39;LV_f09_MF;24;-3.855676;805.40;1;30;400
02-Jul-2021;20:14:38;LV_f09_MF;25;-3.861153;898.74;1;30;400
02-Jul-2021;20:28:40;LV_f09_MF;26;-3.854559;841.90;1;30;400
02-Jul-2021;20:43:12;LV_f09_MF;27;-3.851499;871.72;1;30;400
02-Jul-2021;20:56:43;LV_f09_MF;28;-3.859707;811.28;1;30;400
02-Jul-2021;21:11:39;LV_f09_MF;29;-3.856047;895.96;1;30;400
02-Jul-2021;21:25:50;LV_f09_MF;30;-3.852691;851.61;1;30;400
02-Jul-2021;21:29:58;LV_f10_MF;1;13.533390;247.66;1;30;400
02-Jul-2021;21:33:20;LV_f10_MF;2;14.448956;202.20;1;30;400
02-Jul-2021;21:36:49;LV_f10_MF;3;14.964718;208.34;1;30;400
02-Jul-2021;21:40:34;LV_f10_MF;4;8.740236;225.54;1;30;400
02-Jul-2021;21:44:22;LV_f10_MF;5;8.678407;227.29;1;30;400
02-Jul-2021;21:48:39;LV_f10_MF;6;0.728745;257.88;1;30;400
02-Jul-2021;21:52:34;LV_f10_MF;7;0.000000;234.80;1;30;400
02-Jul-2021;21:56:17;LV_f10_MF;8;1.993953;222.67;1;30;400
02-Jul-2021;22:00:02;LV_f10_MF;9;0.000000;225.38;1;30;400
02-Jul-2021;22:03:39;LV_f10_MF;10;0.000000;216.58;1;30;400
02-Jul-2021;22:07:21;LV_f10_MF;11;7.391556;221.88;1;30;400
02-Jul-2021;22:11:11;LV_f10_MF;12;0.000000;230.59;1;30;400
02-Jul-2021;22:14:54;LV_f10_MF;13;12.894956;222.44;1;30;400
02-Jul-2021;22:18:44;LV_f10_MF;14;0.000000;229.94;1;30;400
02-Jul-2021;22:22:24;LV_f10_MF;15;0.000000;220.02;1;30;400
02-Jul-2021;22:25:48;LV_f10_MF;16;7.065392;203.99;1;30;400
02-Jul-2021;22:29:27;LV_f10_MF;17;0.034964;219.06;1;30;400
02-Jul-2021;22:33:04;LV_f10_MF;18;7.597816;217.43;1;30;400
02-Jul-2021;22:36:24;LV_f10_MF;19;0.000000;199.65;1;30;400
02-Jul-2021;22:40:15;LV_f10_MF;20;6.374734;231.46;1;30;400
02-Jul-2021;22:44:13;LV_f10_MF;21;0.000000;237.70;1;30;400
02-Jul-2021;22:48:01;LV_f10_MF;22;0.000000;228.33;1;30;400
02-Jul-2021;22:51:38;LV_f10_MF;23;0.000000;216.56;1;30;400
02-Jul-2021;22:55:30;LV_f10_MF;24;0.000000;232.48;1;30;400
02-Jul-2021;22:59:24;LV_f10_MF;25;1.214636;233.83;1;30;400
02-Jul-2021;23:03:25;LV_f10_MF;26;0.000000;240.84;1;30;400
02-Jul-2021;23:07:08;LV_f10_MF;27;0.000000;222.62;1;30;400
02-Jul-2021;23:10:33;LV_f10_MF;28;0.000000;205.28;1;30;400
02-Jul-2021;23:14:06;LV_f10_MF;29;11.904708;212.47;1;30;400
02-Jul-2021;23:17:49;LV_f10_MF;30;0.000000;223.86;1;30;400
